,Strategy,Benchmark
Total Return,0.21348709231908747,0.22173834854972663
Ann. Return,0.21631939803670885,0.22468989972900344
Ann. Volatility,0.2917250674078261,0.4372359341710628
Sharpe Ratio,0.6729603313871484,0.46814519057557885
Max Drawdown,-0.26674078637453696,-0.36550840576270366
